time,pred_temp1h,pred_temp2h,pred_temp3h,pred_temp4h,pred_temp5h,pred_temp6h,pred_temp7h,pred_temp8h,pred_temp9h,pred_temp10h,pred_temp11h,pred_temp12h,pred_temp13h,pred_temp14h,pred_temp15h,pred_temp16h,pred_temp17h,pred_temp18h,pred_temp19h,pred_temp20h,pred_temp21h,pred_temp22h,pred_temp23h,pred_temp24h
2025-05-17 16:00:00,22.363277538646525,21.45098261764626,19.866660440868426,18.091617439860773,16.71489030844577,15.769851856037324,14.955787219333514,14.22014446353172,13.54807360087107,12.827718327330192,12.101666389431545,11.554058651974122,11.08456915886326,10.798421721877268,11.442011959123498,13.106790229860172,14.847638058244506,16.257490490496107,17.43274179687187,18.403964462468863,19.13562981803875,19.55281088685187,19.71730782709688,19.561804256364727
2025-05-17 16:00:00,22.36327853041643,21.450983609416166,19.866659944983475,18.091617439860773,16.714890060503294,15.769851360152373,14.955786971391037,14.22014437055329,13.548073166971736,12.827718575272668,12.101665893546588,11.554058404031649,11.084568662978306,10.798420482164884,11.442012207065977,13.106791035673222,14.847638678100695,16.257490986381057,17.432742044814347,18.403964462468863,19.13562981803875,19.552810390966915,19.71730782709688,19.561804256364727
2025-05-17 18:00:00,22.95510532092858,21.809307101353447,20.29076356774452,18.912619445075485,18.01662128718013,17.215599478503357,16.40107497049099,15.616774154496666,14.803972908682598,14.11017029085056,13.495511593405338,12.947985552993972,13.10628864222992,14.51530011558636,16.337938402353217,17.8826480493499,19.20595770976913,20.29565745634853,21.05183837223914,21.52595744727392,21.80645526698708,21.93829173655358,21.74772909962386,21.026181780640897
2025-05-17 20:00:00,21.49136054585281,20.417501348221293,19.46716957187896,18.576556724576324,17.819725207626995,16.955879238333022,16.10865285324855,15.380195129499016,14.799074495128384,14.322085733868924,14.58465160984371,16.18220846013989,18.18184023591713,19.913403052450448,21.50170768128816,22.87363043133321,23.943438744781304,24.803369702369057,25.3525791482256,25.54791021486616,25.43667231037434,24.958360528059508,23.991792486576564,22.47385889146018
2025-05-17 20:00:00,21.49136054585281,20.417501348221293,19.46716957187896,18.576556724576324,17.819725207626995,16.955879238333022,16.10865285324855,15.380195129499016,14.799074495128384,14.322085733868924,14.58465160984371,16.18220846013989,18.18184023591713,19.913403052450448,21.50170768128816,22.87363043133321,23.943438744781304,24.803369702369057,25.3525791482256,25.54791021486616,25.43667231037434,24.958360528059508,23.991792486576564,22.47385889146018
2025-05-17 21:00:00,19.87252675986584,18.982627986895945,18.19915207552142,17.46910454461164,16.737597128399372,15.936863180937989,15.211643585933434,14.641715074958547,14.113407830732156,14.050968631802755,15.382474960571765,17.482757001203126,19.310043465579643,20.923246973806965,22.30573008981728,23.427710459200963,24.318718526811367,24.87499334148238,25.072822676517603,24.980454186268368,24.55099401424189,23.602930415675907,22.046288041105736,20.430113190238306
2025-05-17 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-17 23:00:00,12.092684921157565,12.583498706972255,12.446659997939449,11.963801198545422,11.50037637841329,11.115900161981996,11.17192127692502,12.287024961718965,14.542062158716726,16.68042704801958,18.326724926259537,19.698762225728803,20.82552044663744,21.81300392368022,22.516278873904376,22.878261005027028,22.94228967019577,22.549006289051576,21.619573584065627,20.18158259403895,18.73470683330418,17.602270233795434,16.694882838235397,15.876116530332592
2025-05-18 00:00:00,14.406709678874543,14.166129296203184,13.637206565771333,13.008531122250808,12.431135823591765,12.194512664833272,12.831588709390616,14.724369240958463,16.87247783569412,18.55482555826832,19.98206725016254,21.13045597273366,22.08114131504769,22.79057168519703,23.17436382833526,23.27937044250403,22.99507563170353,22.18845032305459,20.86041636668537,19.35782247671404,18.165544464582126,17.218737934372726,16.39448267592196,15.625086673968656
2025-05-18 03:00:00,10.916007449656137,11.13865285129378,11.331090181289412,12.075991945974977,14.117737464244948,16.438820493423005,18.18060399472858,19.636962067540143,20.788601811865032,21.76949696141841,22.56481906844208,23.063875701892822,23.21469117627657,22.839196180176785,21.909104939972867,20.500640427719905,19.101240692413075,18.06501866685128,17.261192876706133,16.52264439004211,15.835805794537212,15.276911467600447,14.768150179656963,14.26933398842294
